,location_name,location_id,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
0,Abruzzo,35507,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
1,Acre,4750,,,,,2020-03-16,,2020-03-20,,2020-03-17,,2020-03-17,2020-06-22
2,Afghanistan,160,,,,,2020-03-14,,2020-03-18,,2020-03-18,,,
3,Aguascalientes,4643,,,2020-06-22,,2020-03-19,,2020-03-13,,2020-03-23,,2020-03-30,
4,Alabama,523,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30
5,Alagoas,4751,,,,,2020-03-17,,2020-03-16,,2020-04-07,,2020-04-07,2020-05-06
6,Alaska,524,2020-03-28,,2020-03-28,2020-04-24,2020-03-16,,2020-03-24,2020-05-22,2020-03-17,2020-05-22,2020-03-28,2020-04-24
7,Albania,43,2020-03-14,2020-06-01,2020-03-12,2020-06-01,2020-03-08,,2020-03-12,,2020-03-11,,2020-03-14,2020-04-20
8,Alberta,43858,,,,,2020-03-16,,2020-03-12,,2020-03-18,,,
9,Algeria,139,,,,,2020-03-12,,2020-03-17,,2020-03-22,,,
10,Amapá,4753,,,2020-05-19,,2020-03-18,,2020-03-20,,2020-03-20,,2020-04-04,2020-06-16
11,Amazonas,4752,2020-04-06,2020-06-01,,,2020-03-16,,2020-03-31,,2020-03-19,,2020-03-24,2020-06-01
12,Andalucia,60357,,,2020-03-15,2020-05-18,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
13,Andhra Pradesh,4841,2020-03-22,2020-05-21,2020-03-22,2020-06-01,2020-03-18,,2020-03-22,,2020-03-22,,2020-03-22,2020-05-21
14,Andorra,74,,,,,2020-03-16,,,,2020-03-13,,2020-03-16,2020-04-20
15,Angola,168,2020-03-27,2020-05-25,2020-03-27,2020-05-25,2020-03-24,,2020-03-24,,2020-03-27,,2020-03-27,2020-05-25
